entity,label,count
roman catholic,NORP,3
sessa orchid sanctuary,PERSON,3
the pranahita wildlife sanctuary,ORG,3
guru gobind singh,PERSON,3
zambaulim village,GPE,3
narayanpet,ORG,3
eluru,GPE,3
vikramshila gangetic dolphin sanctuary,ORG,3
the santhal rebellion,ORG,3
"the ""pemayangtse monastery",ORG,3
diu fort,WORK_OF_ART,3
nallagandla lake,LOC,3
asia,LOC,3
tulu,PERSON,3
tulu nadu,FAC,3
myanmar,GPE,3
pungro circle,LOC,3
pushbanta palace,FAC,3
geographical indications,ORG,3
sree shree govindaji temple,PERSON,3
ahom,PRODUCT,3
the mrugavani national park,ORG,3
moksha,ORG,3
beary bashe,PERSON,3
"the ""vijayanagara empire",ORG,3
sowa-rigpa,ORG,3
dharmavaram silk sarees,ORG,3
wayanad,ORG,3
m. chinnaswamy stadium,FAC,3
rogan painting,ORG,3
haridwar,ORG,3
bhojpur-purvanchal,ORG,3
"the ""solung festival",EVENT,3
majuli masks,WORK_OF_ART,3
tant sarees,ORG,3
104 km²,PRODUCT,3
the singalila range,LOC,3
immaculate conception cathedral,FAC,3
the yaduvanshi jadaun rajputs,ORG,3
loktak lake,ORG,3
kollapur,PERSON,3
ilkal,NORP,3
silvassa,PERSON,3
ntr gardens,ORG,3
the kawal wildlife sanctuary,ORG,3
bom jesus church,ORG,3
external affairs,ORG,3
harappan,GPE,3
bharat milap,ORG,3
assamese neo-vaishnavite,PERSON,3
kantha embroidery,PERSON,3
hirwa van garden,PERSON,3
srikalahasti kalamkari,PERSON,3
the indian navy,ORG,2
the onglakthang valley,GPE,2
the church of our lady,ORG,2
the bom jesus church,ORG,2
the kang festival,EVENT,2
lacha punjabi,ORG,2
the pemayangtse monastery,ORG,2
terminalia,ORG,2
brahmic,PERSON,2
pat,PERSON,2
mishmi,LOC,2
khogampatt gardens,LOC,2
mokokchung,PERSON,2
apatani,PERSON,2
paigah palace,FAC,2
onam,ORG,2
puranas,GPE,2
p. v. narasimha rao,PERSON,2
